,Period,Type,SubType,Generation
136,2018,Hydro,Subtotal,4481644.615
137,2018,Solar,Subtotal,2703658.41731
138,2018,Total,Subtotal,12653037.98676
139,2018,Waste,Subtotal,3566596.972677
140,2018,Wind,Offshore,26710.091
141,2018,Wind,Onshore,1682777.103
142,2018,Wind,Subtotal,1709487.194
143,2019,Biomass,Biogas,25087.048111
144,2019,Biomass,Solid,151433.827166
145,2019,Biomass,Subtotal,176520.875277
146,2019,Geothermal,Subtotal,756.709
147,2019,Hydro,Subtotal,5544795.913
148,2019,Solar,Subtotal,4017030.9908
149,2019,Total,Subtotal,15266197.344301
150,2019,Waste,Subtotal,3634861.145224
151,2019,Wind,Offshore,176376.921
152,2019,Wind,Onshore,1715854.79
153,2019,Wind,Subtotal,1892231.711
154,2020,Biomass,Biogas,70388.367664
155,2020,Biomass,Solid,141365.508753
156,2020,Biomass,Subtotal,211753.876417
157,2020,Geothermal,Subtotal,1911.729
158,2020,Hydro,Subtotal,3019152.286
159,2020,Solar,Subtotal,6074673.74288
160,2020,Total,Subtotal,15186107.785947
161,2020,Waste,Subtotal,3569744.36565
162,2020,Wind,Offshore,516080.673
163,2020,Wind,Onshore,1792791.113
164,2020,Wind,Subtotal,2308871.786
165,2021,Biomass,Biogas,48535.210143
166,2021,Biomass,Solid,153172.266681
167,2021,Biomass,Subtotal,201707.476824
168,2021,Geothermal,Subtotal,9073.84501
169,2021,Hydro,Subtotal,3474662.53497
170,2021,Solar,Subtotal,7970190.53429
171,2021,Total,Subtotal,17530932.150427
172,2021,Waste,Subtotal,3604513.899003
173,2021,Wind,Offshore,569304.012
174,2021,Wind,Onshore,1701479.84833
175,2021,Wind,Subtotal,2270783.86033
176,2022,Biomass,Biogas,46017.803786
177,2022,Biomass,Solid,118278.472608
178,2022,Biomass,Subtotal,164296.276394
179,2022,Geothermal,Subtotal,25007.71
180,2022,Hydro,Subtotal,5836502.66401
181,2022,Solar,Subtotal,10675321.91692
182,2022,Total,Subtotal,23883729.16141
183,2022,Waste,Subtotal,3605128.321096
184,2022,Wind,Offshore,1494678.335
185,2022,Wind,Onshore,2082793.93799
186,2022,Wind,Subtotal,3577472.27299
187,2023,Biomass,Biogas,72842.466136
